Case Number,Date Reported,Time Reported,Month Reported,Day of Week,Call for Service Nature,Address of Occurance,Reporting District,Agency,Report/No Report
B16-06303,2/19/16,3:05 AM,February,Friday,DISTURBANCE IP,1645 S WILCOX ST; APT 4,LB318,BPD,No Report
B16-06304,2/19/16,3:26 AM,February,Friday,DISTURBANCE IP,E BURKS DR & S WALNUT SPRINGS DR,LB336,BPD,No Report
B16-06326,2/19/16,9:43 AM,February,Friday,DISTURBANCE IP,310 S COLLEGE AVE; COURTYARD BLOOMINGTON,LB103,BPD,No Report
B16-06387,2/19/16,4:47 PM,February,Friday,DISTURBANCE IP,525 S PATTERSON DR; THE DILLON APTS,LB406,BPD,No Report
B16-06396,2/19/16,6:09 PM,February,Friday,DISTURBANCE IP,1414 W 13TH ST,LB517,BPD,No Report
B16-06413,2/19/16,8:32 PM,February,Friday,DISTURBANCE IP,120 S KINGSTON DR,LB221,BPD,No Report
B16-06437,2/19/16,11:07 PM,February,Friday,DISTURBANCE IP,301 S WALNUT ST,LB104,BPD,No Report
B16-06459,2/20/16,1:16 AM,February,Saturday,DISTURBANCE IP,430 E KIRKWOOD AVE; upstairs pub,LB104,BPD,No Report
B16-06461,2/20/16,1:28 AM,February,Saturday,DISTURBANCE IP,430 E KIRKWOOD AVE,LB104,BPD,Report
B16-06478,2/20/16,3:08 AM,February,Saturday,DISTURBANCE IP,1411 W ILLINOIS CT,LB517,BPD,Report
B16-06483,2/20/16,3:48 AM,February,Saturday,DISTURBANCE IP,411 E SOUTHERN DR; apt 7,LB315,BPD,No Report
B16-06491,2/20/16,6:08 AM,February,Saturday,DISTURBANCE IP,2463 S WINSLOW CT,LB326,BPD,No Report
B16-06494,2/20/16,7:19 AM,February,Saturday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT A37,LB336,BPD,No Report
B16-06556,2/20/16,4:59 PM,February,Saturday,DISTURBANCE IP,3600 N PROW RD; BLOOMINGTON MEADOWS HOSPITAL,LB503,BPD,No Report
B16-06573,2/20/16,6:52 PM,February,Saturday,DISTURBANCE IP,417 E KIRKWOOD AVE; PITAYA,LB102,BPD,No Report
B16-06580,2/20/16,7:26 PM,February,Saturday,DISTURBANCE IP,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,No Report
B16-06586,2/20/16,7:56 PM,February,Saturday,DISTURBANCE IP,620 E UNIVERSITY ST,LB302,BPD,No Report
B16-06599,2/20/16,9:34 PM,February,Saturday,DISTURBANCE IP,112 E SOUTHERN DR,LB315,BPD,No Report
B16-06609,2/20/16,10:55 PM,February,Saturday,DISTURBANCE IP,1440 N ARLINGTON PARK DR; APT 507,LB514,BPD,No Report
B16-06611,2/20/16,11:17 PM,February,Saturday,DISTURBANCE IP,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,No Report
B16-06638,2/21/16,2:16 AM,February,Sunday,DISTURBANCE IP,524 S WASHINGTON ST,LB301,BPD,Report
B16-06640,2/21/16,2:32 AM,February,Sunday,DISTURBANCE IP,1342 N ARLINGTON PARK DR,LB514,BPD,No Report
B16-06644,2/21/16,2:52 AM,February,Sunday,DISTURBANCE IP,300 S STATE ROAD 446 ; ROOM 1124,LB307,BPD,No Report
B16-06702,2/21/16,1:53 PM,February,Sunday,DISTURBANCE IP,1619 S DORCHESTER DR; DORCHESTER TOWNHOUSES,LB317,BPD,No Report
B16-06711,2/21/16,3:49 PM,February,Sunday,DISTURBANCE IP,3600 N PROW RD; BLOOMINGTON MEADOWS HOSPITAL,LB503,BPD,No Report
B16-06810,2/22/16,1:25 PM,February,Monday,DISTURBANCE IP,S ROGERS ST & W DRISCOLL DR,LB412,BPD,No Report
B16-06864,2/22/16,6:16 PM,February,Monday,DISTURBANCE IP,3170 S WALNUT ST; SPEEDY WRECKER,LB433,BPD,Report
B16-06885,2/22/16,9:19 PM,February,Monday,DISTURBANCE IP,1890 S WALNUT ST; APT 4,LB421,BPD,No Report
B16-06907,2/22/16,11:52 PM,February,Monday,DISTURBANCE IP,966 S COPPER BEECH WAY; apt I,LB415,BPD,No Report
B16-06987,2/23/16,2:42 PM,February,Tuesday,DISTURBANCE IP,1500 S ROGERS ST; APT 6,LB420,BPD,No Report
B16-07025,2/23/16,7:02 PM,February,Tuesday,DISTURBANCE IP,322 E KIRKWOOD AVE; SONOMA COFFEE HOUSE,LB104,BPD,No Report
B16-07030,2/23/16,8:24 PM,February,Tuesday,DISTURBANCE IP,1305 S MONON DR; MONROE MOBILE MANOR; LOT 6,LB411,BPD,No Report
B16-07114,2/24/16,3:36 PM,February,Wednesday,DISTURBANCE IP,303 E KIRKWOOD AVE,LB102,BPD,No Report
B16-07227,2/25/16,2:25 PM,February,Thursday,DISTURBANCE IP,620 S WALNUT ST; SHALOM CENTER,LB410,BPD,No Report
B16-07250,2/25/16,5:07 PM,February,Thursday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT B100,LB336,BPD,No Report
B16-07281,2/25/16,10:54 PM,February,Thursday,DISTURBANCE IP,216 N WALNUT ST; BLUE BIRD,LB102,BPD,No Report
B16-07402,2/26/16,8:01 PM,February,Friday,DISTURBANCE IP,214 W 17TH ST; PEPSI COLA COMPANY,LB512,BPD,No Report
B16-07423,2/26/16,10:37 PM,February,Friday,DISTURBANCE IP,205 E KIRKWOOD AVE; FIRST CHRISTIAN CHURCH,LB102,BPD,No Report
B16-07438,2/27/16,12:14 AM,February,Saturday,DISTURBANCE IP,1800 N WALNUT ST; MOTEL 6; ROOM 200,LB212,BPD,No Report
B16-07448,2/27/16,2:05 AM,February,Saturday,DISTURBANCE IP,435 S VIOLET CT,LE01,BPD,Report
B16-07456,2/27/16,3:46 AM,February,Saturday,DISTURBANCE IP,3511 S HEATHERWOOD LN,LB428,BPD,No Report
B16-07512,2/27/16,5:09 PM,February,Saturday,DISTURBANCE IP,3111 S ACADIA CT,LB329,BPD,No Report
B16-07531,2/27/16,6:57 PM,February,Saturday,DISTURBANCE IP,1600 N WILLIS DR; lot 117,LB513,BPD,No Report
B16-07576,2/27/16,11:44 PM,February,Saturday,DISTURBANCE IP,1722 N WALNUT ST; AMERICAS BEST VALUE INN,LB212,BPD,No Report
B16-07589,2/28/16,1:19 AM,February,Sunday,DISTURBANCE IP,805 N WASHINGTON ST,LB213,BPD,No Report
B16-07599,2/28/16,2:30 AM,February,Sunday,DISTURBANCE IP,N MAPLE ST & W 15TH ST,LB518,BPD,Report
B16-07615,2/28/16,5:02 AM,February,Sunday,DISTURBANCE IP,1112 S FAIRVIEW ST ;APT 1/2,LB412,BPD,No Report
B16-07690,2/28/16,11:32 PM,February,Sunday,DISTURBANCE IP,1730 S WALNUT ST; NIGHT MOVES; NIGHT,LB421,BPD,Report
B16-07703,2/29/16,1:37 AM,February,Monday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT A17,LB336,BPD,No Report
B16-07738,2/29/16,10:51 AM,February,Monday,DISTURBANCE IP,1500 N COLLEGE AVE; MILLER SHOWERS PARK,LB512,BPD,No Report
B16-07758,2/29/16,1:14 PM,February,Monday,DISTURBANCE IP,N LINCOLN ST & E 6TH ST,LB102,BPD,No Report
B16-07818,2/29/16,10:35 PM,February,Monday,DISTURBANCE IP,2424 S WALNUT ST; LUCKYS MARKET,LB422,BPD,No Report
B16-07888,3/1/16,2:49 PM,March,Tuesday,DISTURBANCE IP,2623 N WALNUT ST,LB511,BPD,No Report
B16-07910,3/1/16,5:39 PM,March,Tuesday,DISTURBANCE IP,338 S WASHINGTON ST; MIDDLE WAY HOUSE,LB104,BPD,No Report
B16-07926,3/1/16,8:10 PM,March,Tuesday,DISTURBANCE IP,S COLLEGE MALL RD & E 3RD ST,LB221,BPD,No Report
B16-07949,3/1/16,11:57 PM,March,Tuesday,DISTURBANCE IP,1400 W 12TH ST,LB517,BPD,No Report
B16-08038,3/2/16,6:37 PM,March,Wednesday,DISTURBANCE IP,2315 S ROCKPORT RD; APT C,LB423,BPD,No Report
B16-08148,3/3/16,1:38 PM,March,Thursday,DISTURBANCE IP,2620 S WALNUT ST; DOMINOS PIZZA SOUTH,LB433,BPD,No Report
B16-08228,3/3/16,10:30 PM,March,Thursday,DISTURBANCE IP,221 N WALNUT ST; BLACKS MERCANTILE,LB101,BPD,No Report
B16-08236,3/3/16,11:14 PM,March,Thursday,DISTURBANCE IP,245 N COLLEGE AVE; HILTON GARDENS INN BLOOMINGTON,LB101,BPD,No Report
B16-08237,3/3/16,11:18 PM,March,Thursday,DISTURBANCE IP,S GRANT ST & E 4TH ST,LB104,BPD,No Report
B16-08241,3/3/16,11:44 PM,March,Thursday,DISTURBANCE IP,245 N COLLEGE AVE; HILTON GARDENS INN BLOOMINGTON,LB101,BPD,No Report
B16-08259,3/4/16,3:25 AM,March,Friday,DISTURBANCE IP,203 E 8TH ST,LB102,BPD,No Report
B16-08260,3/4/16,3:55 AM,March,Friday,DISTURBANCE IP,1705 S HUNTINGTON DR; APT 4,LB316,BPD,Report
B16-08287,3/4/16,10:00 AM,March,Friday,DISTURBANCE IP,N COLLEGE AVE & W 17TH ST,LB519,BPD,No Report
B16-08307,3/4/16,1:00 PM,March,Friday,DISTURBANCE IP,1116 N LINDBERGH DR,LB517,BPD,No Report
B16-08358,3/4/16,7:26 PM,March,Friday,DISTURBANCE IP,1100 W RAPPEL AVE; QUALITY INN; RM 206,LB510,BPD,No Report
B16-08394,3/4/16,11:06 PM,March,Friday,DISTURBANCE IP,105 W 7TH ST; VIDEO SALOON,LB101,BPD,No Report
B16-08422,3/5/16,2:42 AM,March,Saturday,DISTURBANCE IP,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,No Report
B16-08424,3/5/16,2:54 AM,March,Saturday,DISTURBANCE IP,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,Report
B16-08443,3/5/16,9:06 AM,March,Saturday,DISTURBANCE IP,408 E 6TH ST; BOXCAR BOOKS,LB102,BPD,No Report
B16-08447,3/5/16,9:38 AM,March,Saturday,DISTURBANCE IP,1712 S WALNUT ST; DOUGS AUTO REPAIR,LB421,BPD,No Report
B16-08463,3/5/16,11:36 AM,March,Saturday,DISTURBANCE IP,1722 N WALNUT ST; AMERICAS BEST VALUE INN; ROOM 221,LB212,BPD,No Report
B16-08487,3/5/16,3:17 PM,March,Saturday,DISTURBANCE IP,N LINCOLN ST & E 6TH ST,LB102,BPD,Report
B16-08492,3/5/16,4:28 PM,March,Saturday,DISTURBANCE IP,N LINCOLN ST & E 6TH ST,LB102,BPD,No Report
B16-08527,3/5/16,9:42 PM,March,Saturday,DISTURBANCE IP,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,No Report
B16-08528,3/5/16,9:49 PM,March,Saturday,DISTURBANCE IP,S WALNUT ST & E KIRKWOOD AVE,LB102,BPD,Report
B16-08538,3/5/16,11:03 PM,March,Saturday,DISTURBANCE IP,275 E WINSLOW RD; VILLAGE PANTRY SOUTH,LB327,BPD,No Report
B16-08541,3/5/16,11:25 PM,March,Saturday,DISTURBANCE IP,275 E WINSLOW RD; VILLAGE PANTRY SOUTH,LB327,BPD,No Report
B16-08561,3/6/16,2:05 AM,March,Sunday,DISTURBANCE IP,507 S MULLER PKWY,LB404,BPD,No Report
B16-08566,3/6/16,3:18 AM,March,Sunday,DISTURBANCE IP,319 N WALNUT ST; KILROYS SPORTS BAR,LB101,BPD,Report
B16-08607,3/6/16,12:55 PM,March,Sunday,DISTURBANCE IP,N GRANT ST & E 7TH ST,LB102,BPD,Report
B16-08614,3/6/16,2:49 PM,March,Sunday,DISTURBANCE IP,111 S GRANT ST; TRINITY EPISCOPAL,LB104,BPD,No Report
B16-08634,3/6/16,5:48 PM,March,Sunday,DISTURBANCE IP,2440 S HENDERSON ST; APT 303,LB327,BPD,No Report
B16-08661,3/6/16,10:25 PM,March,Sunday,DISTURBANCE IP,919 S ROGERS ST; FRIENDS PLACE,LB412,BPD,No Report
B16-08715,3/7/16,9:56 AM,March,Monday,DISTURBANCE IP,515 S WALNUT ST; STAHL FURNITURE,LB301,BPD,Report
B16-08730,3/7/16,11:43 AM,March,Monday,DISTURBANCE IP,205 S WALNUT ST,LB104,BPD,No Report
B16-08797,3/7/16,8:38 PM,March,Monday,DISTURBANCE IP,N ILLINOIS ST & W 12TH ST,LB517,BPD,No Report
B16-08799,3/7/16,8:57 PM,March,Monday,DISTURBANCE IP,1112 N LINDBERGH DR,LB517,BPD,Report
B16-08850,3/8/16,5:45 AM,March,Tuesday,DISTURBANCE IP,822 W 3RD ST,LB408,BPD,No Report
B16-08886,3/8/16,12:23 PM,March,Tuesday,DISTURBANCE IP,N JACKSON ST & W 17TH ST,LB518,BPD,No Report
B16-08896,3/8/16,1:01 PM,March,Tuesday,DISTURBANCE IP,349 S WALNUT ST; THE PROJECT SCHOOL,LB104,BPD,No Report
B16-08899,3/8/16,1:32 PM,March,Tuesday,DISTURBANCE IP,S MORTON ST & W 1ST ST,LB409,BPD,No Report
B16-08913,3/8/16,2:38 PM,March,Tuesday,DISTURBANCE IP,303 E KIRKWOOD AVE,LB102,BPD,No Report
B16-08920,3/8/16,3:26 PM,March,Tuesday,DISTURBANCE IP,405 E KIRKWOOD AVE; CAFE PIZZARIA,LB102,BPD,No Report
B16-08959,3/8/16,9:21 PM,March,Tuesday,DISTURBANCE IP,2420 E 3RD ST; FIRST BAPTIST CHURCH,LB304,BPD,No Report
B16-08975,3/8/16,11:13 PM,March,Tuesday,DISTURBANCE IP,S DUNN ST & E KIRKWOOD AVE,LB102,BPD,No Report
B16-08978,3/8/16,11:32 PM,March,Tuesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT B98,LB336,BPD,No Report
B16-08998,3/9/16,1:35 AM,March,Wednesday,DISTURBANCE IP,417 S FESS AVE,LB302,BPD,No Report
B16-09032,3/9/16,8:34 AM,March,Wednesday,DISTURBANCE IP,417 W 6TH ST,LB101,BPD,No Report
B16-09052,3/9/16,10:11 AM,March,Wednesday,DISTURBANCE IP,1525 S ROGERS ST; THE WAREHOUSE,LB420,BPD,No Report
B16-09067,3/9/16,11:10 AM,March,Wednesday,DISTURBANCE IP,2510 S ROCKPORT RD; PROVIDNECE PLACE APTS APT 308,LB424,BPD,No Report
B16-09224,3/10/16,12:34 PM,March,Thursday,DISTURBANCE IP,3175 W 3RD ST; KMART WEST,LB403,BPD,No Report
B16-09316,3/11/16,1:12 AM,March,Friday,DISTURBANCE IP,236 E BROWNSTONE DR,LB213,BPD,No Report
B16-09333,3/11/16,6:11 AM,March,Friday,DISTURBANCE IP,935 S COPPER BEECH WAY; APT G,LB415,BPD,Report
B16-09371,3/11/16,12:40 PM,March,Friday,DISTURBANCE IP,2200 S ROGERS ST,LB423,BPD,No Report
B16-09428,3/11/16,5:42 PM,March,Friday,DISTURBANCE IP,E HILLSIDE DR & S PALMER AVE,LB314,BPD,No Report
B16-09443,3/11/16,9:09 PM,March,Friday,DISTURBANCE IP,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,Report
B16-09445,3/11/16,9:13 PM,March,Friday,DISTURBANCE IP,2910 W 3RD ST; MCDONALDS WEST,LB523,BPD,No Report
B16-09483,3/12/16,2:27 AM,March,Saturday,DISTURBANCE IP,7TH & COLLEGE,LB101,BPD,No Report
B16-09486,3/12/16,3:16 AM,March,Saturday,DISTURBANCE IP,2901 W JULIES WAY,LB415,BPD,Report
B16-09544,3/12/16,1:48 PM,March,Saturday,DISTURBANCE IP,310 S COLLEGE AVE; COURTYARD BLOOMINGTON,LB103,BPD,No Report
B16-09562,3/12/16,4:50 PM,March,Saturday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,Report
B16-09600,3/12/16,9:55 PM,March,Saturday,DISTURBANCE IP,BS S LIBERTY DR AT KROGER WEST,LB403,BPD,Report
B16-09636,3/13/16,8:53 AM,March,Sunday,DISTURBANCE IP,100 N LINCOLN ST,LB102,BPD,No Report
B16-09652,3/13/16,12:30 PM,March,Sunday,DISTURBANCE IP,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,No Report
B16-09675,3/13/16,3:37 PM,March,Sunday,DISTURBANCE IP,930 W 17TH ST; WESTERN SKATELAND,LB513,BPD,No Report
B16-09707,3/13/16,8:14 PM,March,Sunday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; apt b102,LB336,BPD,No Report
B16-09747,3/14/16,6:28 AM,March,Monday,DISTURBANCE IP,S WASHINGTON ST & E 3RD ST,LB104,BPD,No Report
B16-09795,3/14/16,4:12 PM,March,Monday,DISTURBANCE IP,1709 W 8TH ST; VALHALLA MOBILE MANOR; LOT 15,LB521,BPD,No Report
B16-09827,3/14/16,8:51 PM,March,Monday,DISTURBANCE IP,2373 S WINSLOW CT,LB326,BPD,No Report
B16-09829,3/14/16,8:59 PM,March,Monday,DISTURBANCE IP,S WASHINGTON ST & E 4TH ST,LB104,BPD,No Report
B16-09830,3/14/16,9:17 PM,March,Monday,DISTURBANCE IP,301 S WALNUT ST,LB104,BPD,No Report
B16-09851,3/15/16,12:08 AM,March,Tuesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT B115,LB336,BPD,No Report
B16-09886,3/15/16,11:19 AM,March,Tuesday,DISTURBANCE IP,409 E KIRKWOOD AVE; VILLAGE DELI,LB102,BPD,No Report
B16-09905,3/15/16,1:39 PM,March,Tuesday,DISTURBANCE IP,S DUNN ST & E KIRKWOOD AVE,LB102,BPD,No Report
B16-09921,3/15/16,3:13 PM,March,Tuesday,DISTURBANCE IP,1004 W COUNTRY CLUB DR; APT 2,LB423,BPD,No Report
B16-09964,3/15/16,8:27 PM,March,Tuesday,DISTURBANCE IP,S COLLEGE MALL RD & E 3RD ST,LB221,BPD,No Report
B16-09969,3/15/16,8:58 PM,March,Tuesday,DISTURBANCE IP,S ROCKPORT RD & W COUNTRYSIDE LN,LB420,BPD,No Report
B16-09971,3/15/16,9:28 PM,March,Tuesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT 158,LB336,BPD,No Report
B16-10000,3/16/16,12:43 AM,March,Wednesday,DISTURBANCE IP,216 N WALNUT ST; BLUE BIRD,LB102,BPD,No Report
B16-10009,3/16/16,3:05 AM,March,Wednesday,DISTURBANCE IP,2304 S ROGERS ST; lot 36,LB423,BPD,No Report
B16-10010,3/16/16,4:09 AM,March,Wednesday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,No Report
B16-10016,3/16/16,7:19 AM,March,Wednesday,DISTURBANCE IP,1230 W 20TH ST,LB514,BPD,No Report
B16-10079,3/16/16,5:34 PM,March,Wednesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT B158,LB336,BPD,No Report
B16-10086,3/16/16,7:25 PM,March,Wednesday,DISTURBANCE IP,2313 S ROCKPORT RD; APT B,LB423,BPD,Report
B16-10090,3/16/16,8:00 PM,March,Wednesday,DISTURBANCE IP,2383 S WINSLOW CT,LB326,BPD,No Report
B16-10130,3/17/16,9:15 AM,March,Thursday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,No Report
B16-10171,3/17/16,5:09 PM,March,Thursday,DISTURBANCE IP,1600 N WILLIS DR; LOT 125,LB513,BPD,No Report
B16-10186,3/17/16,8:09 PM,March,Thursday,DISTURBANCE IP,1014 N LINDBERGH DR,LB517,BPD,No Report
B16-10188,3/17/16,8:27 PM,March,Thursday,DISTURBANCE IP,2335 S BRANDON CT,LB326,BPD,Report
B16-10203,3/17/16,10:20 PM,March,Thursday,DISTURBANCE IP,N WALNUT ST & E 6TH ST,LB101,BPD,No Report
B16-10226,3/18/16,3:01 AM,March,Friday,DISTURBANCE IP,622 W 13TH ST,LB518,BPD,Report
B16-10227,3/18/16,3:13 AM,March,Friday,DISTURBANCE IP,430 E KIRKWOOD AVE,LB104,BPD,Report
B16-10230,3/18/16,3:46 AM,March,Friday,DISTURBANCE IP,S WASHINGTON ST & E KIRKWOOD AVE,LB104,BPD,No Report
B16-10242,3/18/16,7:56 AM,March,Friday,DISTURBANCE IP,S WALNUT ST & E RHORER RD,LB434,BPD,No Report
B16-10295,3/18/16,3:50 PM,March,Friday,DISTURBANCE IP,101 W 2ND ST; SEMINARY PARK,LB410,BPD,No Report
B16-10297,3/18/16,4:22 PM,March,Friday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT A22,LB336,BPD,No Report
B16-10405,3/19/16,1:47 PM,March,Saturday,DISTURBANCE IP,BLT 42 MARKER GRIMES BRIDGE,LB411,BPD,No Report
B16-10411,3/19/16,2:39 PM,March,Saturday,DISTURBANCE IP,KIRKWOOD & WASHINGTON,LB104,BPD,No Report
B16-10433,3/19/16,7:02 PM,March,Saturday,DISTURBANCE IP,120 S KINGSTON DR ; TOWN & COUNTRY APARTMENTS,LB221,BPD,No Report
B16-10459,3/19/16,11:32 PM,March,Saturday,DISTURBANCE IP,2315 S ROCKPORT RD; APT F,LB423,BPD,No Report
B16-10463,3/20/16,12:33 AM,March,Sunday,DISTURBANCE IP,216 N WALNUT ST; BLUE BIRD,LB102,BPD,No Report
B16-10473,3/20/16,1:22 AM,March,Sunday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT B147,LB336,BPD,No Report
B16-10474,3/20/16,1:21 AM,March,Sunday,DISTURBANCE IP,N WALNUT ST & E 7TH ST,LB102,BPD,No Report
B16-10483,3/20/16,3:04 AM,March,Sunday,DISTURBANCE IP,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,Report
B16-10496,3/20/16,6:47 AM,March,Sunday,DISTURBANCE IP,1204 W COTTAGE GROVE AVE,LB517,BPD,No Report
B16-10506,3/20/16,11:18 AM,March,Sunday,DISTURBANCE IP,1600 N WILLIS DR; LT 119,LB513,BPD,No Report
B16-10533,3/20/16,4:14 PM,March,Sunday,DISTURBANCE IP,3410 S WALNUT ST; ANIMAL SHELTER,LB434,BPD,No Report
B16-10574,3/21/16,12:00 AM,March,Monday,DISTURBANCE IP,400 S OPPORTUNITY LN; AGAPE WOMENS SHELTER,LB404,BPD,No Report
B16-10634,3/21/16,2:00 PM,March,Monday,DISTURBANCE IP,S GRANT ST & E KIRKWOOD AVE,LB102,BPD,No Report
B16-10673,3/21/16,6:37 PM,March,Monday,DISTURBANCE IP,568 S BASSWOOD DR; APT J,LB415,BPD,No Report
B16-10678,3/21/16,6:54 PM,March,Monday,DISTURBANCE IP,E 3RD ST & S KINGSTON DR,LB305,BPD,No Report
B16-10680,3/21/16,7:12 PM,March,Monday,DISTURBANCE IP,762 S CLARIZZ BLVD; THE WOODS APTS,LB305,BPD,No Report
B16-10691,3/21/16,7:54 PM,March,Monday,DISTURBANCE IP,1705 S HUNTINGTON DR,LB316,BPD,Report
B16-10706,3/21/16,9:51 PM,March,Monday,DISTURBANCE IP,522 E GRAHAM PL,LB327,BPD,No Report
B16-10726,3/22/16,1:10 AM,March,Tuesday,DISTURBANCE IP,S JACKSON ST & W 3RD ST,LB408,BPD,No Report
B16-10730,3/22/16,2:03 AM,March,Tuesday,DISTURBANCE IP,3939 W ROLL AVE,LB416,BPD,No Report
B16-10769,3/22/16,9:55 AM,March,Tuesday,DISTURBANCE IP,1300 N WALNUT ST; APT 26,LB213,BPD,No Report
B16-10804,3/22/16,4:48 PM,March,Tuesday,DISTURBANCE IP,101 W 2ND ST; SEMINARY PARK,LB410,BPD,No Report
B16-10819,3/22/16,6:39 PM,March,Tuesday,DISTURBANCE IP,612 W HOWE ST,LB409,BPD,No Report
B16-10840,3/22/16,9:45 PM,March,Tuesday,DISTURBANCE IP,800 N SMITH RD; MEADOW PARK APTS,LB218,BPD,No Report
B16-10924,3/23/16,9:02 AM,March,Wednesday,DISTURBANCE IP,2300 N WALNUT ST; MCDONALDS NORTH,LB209,BPD,No Report
B16-11011,3/23/16,10:06 PM,March,Wednesday,DISTURBANCE IP,301 S WALNUT ST,LB104,BPD,No Report
B16-11016,3/23/16,10:38 PM,March,Wednesday,DISTURBANCE IP,3208 S ACADIA CT,LB329,BPD,No Report
B16-11022,3/23/16,11:24 PM,March,Wednesday,DISTURBANCE IP,221 N WALNUT ST; BLACKS MERCANTILE,LB101,BPD,No Report
B16-11030,3/24/16,12:08 AM,March,Thursday,DISTURBANCE IP,1222 N ARLINGTON PARK DR,LB514,BPD,No Report
B16-11032,3/24/16,12:20 AM,March,Thursday,DISTURBANCE IP,221 N WALNUT ST; BLACKS MERCANTILE,LB101,BPD,No Report
B16-11097,3/24/16,4:27 PM,March,Thursday,DISTURBANCE IP,1460 N ARLINGTON PARK DR; APT 607,LB514,BPD,Report
B16-11198,3/25/16,8:23 AM,March,Friday,DISTURBANCE IP,4611 W BELLE AVE,LB402,BPD,No Report
B16-11246,3/25/16,4:12 PM,March,Friday,DISTURBANCE IP,301 S WALNUT ST,LB104,BPD,No Report
B16-11267,3/25/16,8:11 PM,March,Friday,DISTURBANCE IP,3315 E LONGVIEW AVE; CONTINENTAL TERRACE APARTMENTS; APT 50,LB221,BPD,Report
B16-11285,3/25/16,10:11 PM,March,Friday,DISTURBANCE IP,1005 N ROGERS ST; APT 6   HOOSIER FLATS,LB518,BPD,No Report
B16-11306,3/26/16,12:14 AM,March,Saturday,DISTURBANCE IP,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,No Report
B16-11310,3/26/16,12:29 AM,March,Saturday,DISTURBANCE IP,4418 E ELOUISE AVE,LB219,BPD,No Report
B16-11312,3/26/16,12:30 AM,March,Saturday,DISTURBANCE IP,520 S BASSWOOD DR,LB404,BPD,No Report
B16-11315,3/26/16,12:41 AM,March,Saturday,DISTURBANCE IP,N GRANT ST & E COTTAGE GROVE AVE,LB213,BPD,No Report
B16-11324,3/26/16,2:29 AM,March,Saturday,DISTURBANCE IP,105 W 7TH ST; VIDEO SALOON,LB101,BPD,Report
B16-11352,3/26/16,10:40 AM,March,Saturday,DISTURBANCE IP,521 W HAYS CT,LB423,BPD,No Report
B16-11363,3/26/16,12:10 PM,March,Saturday,DISTURBANCE IP,3705 E BARRINGTON DR; UNIT B206,LB217,BPD,No Report
B16-11365,3/26/16,12:19 PM,March,Saturday,DISTURBANCE IP,N PARK RIDGE RD & E MORNINGSIDE DR,LB219,BPD,No Report
B16-11374,3/26/16,1:41 PM,March,Saturday,DISTURBANCE IP,2339 S WINSLOW CT,LB326,BPD,Report
B16-11392,3/26/16,2:47 PM,March,Saturday,DISTURBANCE IP,2373 S WINSLOW CT,LB326,BPD,Report
B16-11423,3/26/16,7:49 PM,March,Saturday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,No Report
B16-11486,3/27/16,5:37 AM,March,Sunday,DISTURBANCE IP,N COLLEGE AVE & W 10TH ST,LB101,BPD,No Report
B16-11507,3/27/16,1:34 PM,March,Sunday,DISTURBANCE IP,322 E KIRKWOOD AVE; LAUGHING PLANET CAFE,LB104,BPD,No Report
B16-11516,3/27/16,3:18 PM,March,Sunday,DISTURBANCE IP,401 S WASHINGTON ST; MIDDLE WAY HOUSE THE RISE; 209,LB104,BPD,No Report
B16-11524,3/27/16,4:15 PM,March,Sunday,DISTURBANCE IP,2375 S WINSLOW CT,LB326,BPD,Report
B16-11539,3/27/16,8:06 PM,March,Sunday,DISTURBANCE IP,3248 S ACADIA CT,LB329,BPD,No Report
B16-11598,3/28/16,8:08 AM,March,Monday,DISTURBANCE IP,422 S WASHINGTON ST,LB104,BPD,No Report
B16-11617,3/28/16,11:55 AM,March,Monday,DISTURBANCE IP,2044 S OAKDALE DR,LB417,BPD,No Report
